                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.48748,                 2.3661,                0.33264,                0.31474,                0.90235,                0.97517,                0.96079,                0.98223,                0.84713,                0.67591,                0.61583,                0.59532,                0.30119,                 0.6183,                 2.9131,                 0.4048,                0.32907,                0.99423,              0.0011882,              0.0011882,              0.0011882
                     43,                0.48719,                 2.3636,                 0.3317,                0.31701,                0.91104,                 0.9846,                0.95396,                0.98246,                 0.8487,                0.69285,                0.62446,                0.61908,                 0.3217,                0.61174,                 2.8441,                 0.3975,                0.32583,                0.99953,              0.0011684,              0.0011684,              0.0011684
                     44,                0.48592,                 2.3933,                0.33524,                0.31743,                0.91241,                0.98557,                0.95396,                0.98222,                0.84253,                 0.6777,                0.61439,                0.58693,                0.29094,                0.62385,                 2.9432,                0.40601,                0.33311,                 1.0019,              0.0011486,              0.0011486,              0.0011486
                     45,                0.47879,                 2.3803,                 0.3267,                0.31048,                0.89988,                0.97217,                0.95971,                0.98219,                0.83758,                0.68832,                0.61727,                0.56185,                0.29164,                0.60943,                 2.8398,                0.38675,                0.33349,                0.98348,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.4901,                 2.3183,                0.32908,                0.31717,                0.91031,                 0.9792,                0.94836,                0.98196,                0.84477,                 0.6832,                0.61871,                0.60112,                0.31598,                0.61562,                 2.8727,                0.37947,                0.33063,                0.99845,               0.001109,               0.001109,               0.001109
                     47,                0.47283,                 2.3497,                 0.3231,                0.31042,                0.90184,                0.98234,                 0.9482,                0.98429,                0.84321,                0.68067,                0.62014,                0.57895,                0.29519,                 0.6141,                 2.9242,                0.40397,                0.32749,                0.99621,              0.0010892,              0.0010892,              0.0010892
                     48,                0.47478,                 2.3432,                0.31977,                0.31031,                0.89943,                0.98506,                0.94857,                0.98501,                0.84462,                0.68897,                0.62152,                0.58599,                0.30221,                 0.6184,                 2.8364,                0.38841,                 0.3355,                0.99633,              0.0010694,              0.0010694,              0.0010694
                     49,                0.47174,                 2.3041,                0.31922,                0.31122,                0.90262,                0.98067,                0.94899,                0.98237,                0.84276,                0.69318,                0.62158,                0.59791,                0.31063,                0.62162,                 2.9082,                0.39595,                0.33987,                  1.003,              0.0010496,              0.0010496,              0.0010496
                     50,                0.46336,                 2.1999,                0.31197,                0.30273,                 0.8995,                0.98738,                0.95396,                0.98523,                0.84842,                0.69063,                 0.6259,                0.59186,                0.31772,                0.61601,                 2.7717,                0.40004,                0.32646,                 1.0019,              0.0010298,              0.0010298,              0.0010298
                     51,                0.47411,                 2.2272,                0.32354,                0.31268,                0.90465,                0.97758,                 0.9554,                0.97999,                0.84763,                0.67696,                0.62014,                0.57675,                0.29548,                0.60615,                 2.8476,                0.41256,                0.32404,                0.99225,                0.00101,                0.00101,                0.00101
                     52,                0.46805,                 2.3003,                0.31687,                0.30598,                0.89983,                0.98363,                0.95081,                0.98164,                0.85154,                0.68987,                0.63053,                0.60589,                0.31268,                0.60166,                 2.8027,                0.40084,                0.31977,                0.98526,              0.0009902,              0.0009902,              0.0009902
