                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.68993,                 4.4557,                0.44976,                0.44713,                 1.0045,                0.96747,                0.94147,                 0.9727,                0.81789,                0.55187,                0.46187,                 0.3887,                0.15361,                0.66711,                 4.0167,                0.47163,                 0.4104,                 1.0113,              0.0015347,              0.0015347,              0.0015347
                     50,                0.66736,                 4.2267,                0.44248,                0.43946,                0.99458,                0.98785,                0.93575,                0.97305,                0.81285,                 0.5768,                0.49928,                0.43912,                0.17894,                0.67872,                 3.9331,                0.46954,                0.40354,                 1.0122,              0.0015248,              0.0015248,              0.0015248
                     51,                0.66328,                 4.2138,                0.43546,                0.43018,                 0.9935,                0.97027,                0.94388,                0.97179,                0.80408,                0.55736,                0.47626,                0.35791,                0.13733,                0.66484,                 4.0701,                0.46428,                0.39587,                 1.0127,              0.0015149,              0.0015149,              0.0015149
                     52,                0.66877,                 4.2421,                0.44213,                0.43932,                0.99966,                0.97103,                0.92374,                0.96754,                0.79598,                0.53243,                0.43741,                0.34246,                0.12812,                0.67373,                 4.2772,                0.47292,                0.44001,                 1.0127,               0.001505,               0.001505,               0.001505
                     53,                0.66908,                 4.3583,                0.44471,                 0.4406,                0.99755,                0.96828,                0.92228,                0.96988,                0.81452,                0.55831,                0.46475,                0.39252,                0.15836,                0.66861,                 4.0245,                0.46699,                0.40023,                  1.023,              0.0014951,              0.0014951,              0.0014951
                     54,                0.66243,                  4.318,                0.44568,                0.42852,                0.99334,                0.98631,                0.93301,                 0.9754,                0.81874,                0.55218,                0.47482,                0.41657,                0.17275,                0.65229,                 3.9496,                0.46004,                0.37903,                 1.0048,              0.0014852,              0.0014852,              0.0014852
                     55,                0.66248,                 4.1959,                0.43471,                0.43049,                0.98978,                0.97744,                0.93497,                0.97435,                 0.8041,                0.54791,                0.46763,                0.35809,                0.14031,                0.67137,                 4.0526,                0.47274,                0.39011,                 1.0319,              0.0014753,              0.0014753,              0.0014753
                     56,                0.65934,                 4.2085,                0.44435,                0.42745,                0.99067,                0.97006,                0.92662,                0.97169,                0.80727,                0.56426,                 0.4705,                0.38705,                0.15393,                0.69582,                 4.0829,                0.46019,                 0.4128,                 1.0494,              0.0014654,              0.0014654,              0.0014654
                     57,                0.68767,                 4.2636,                0.43507,                0.45555,                 1.0104,                0.98198,                0.92086,                0.96513,                 0.7934,                0.57046,                0.46331,                0.40657,                0.17398,                0.70377,                 4.0006,                0.47706,                0.41945,                 1.0375,              0.0014555,              0.0014555,              0.0014555
                     58,                0.65929,                 4.0916,                0.43083,                0.42622,                0.99208,                0.97164,                0.93677,                0.96625,                0.80294,                 0.5428,                 0.4777,                0.36521,                0.14546,                0.66386,                 3.8484,                0.47614,                 0.4041,                 1.0213,              0.0014456,              0.0014456,              0.0014456
