                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.73483,                 5.1182,                0.48397,                0.48967,                 1.0363,                0.96926,                0.91942,                0.96371,                0.79145,                0.49322,                0.38849,                0.27708,                0.08954,                0.70815,                 4.7276,                0.51701,                0.44491,                  1.039,               0.001703,               0.001703,               0.001703
                     32,                0.73684,                 5.1127,                0.47816,                0.49398,                 1.0344,                0.97971,                0.91942,                0.96338,                0.77848,                0.49521,                0.40288,                0.30006,                0.10492,                0.72558,                 4.7208,                0.50394,                0.44525,                 1.0554,              0.0016931,              0.0016931,              0.0016931
                     33,                0.71264,                 4.9708,                0.47578,                0.47632,                 1.0223,                0.95992,                0.93052,                0.96462,                0.79121,                0.48422,                    0.4,                0.27202,                0.09802,                0.70414,                 4.6586,                0.50146,                0.43268,                 1.0477,              0.0016832,              0.0016832,              0.0016832
                     34,                 0.7265,                 5.0124,                0.47793,                0.47359,                 1.0307,                0.96133,                0.88489,                0.93993,                0.76048,                0.51135,                0.36259,                0.29866,                0.10269,                0.74437,                 4.9425,                0.51021,                0.51721,                 1.0611,              0.0016733,              0.0016733,              0.0016733
                     35,                 0.7135,                 4.8906,                0.47201,                0.47933,                 1.0233,                0.97377,                0.92518,                0.96618,                0.80443,                0.52378,                0.41439,                0.35154,                0.13334,                0.70926,                 4.4455,                 0.5024,                0.41496,                 1.0606,              0.0016634,              0.0016634,              0.0016634
                     36,                0.70049,                  4.849,                0.47381,                0.46142,                 1.0065,                0.96549,                0.91511,                 0.9666,                0.78778,                0.50655,                0.40432,                0.30545,                0.11659,                 0.7295,                  4.548,                0.50437,                0.44603,                 1.0557,              0.0016535,              0.0016535,              0.0016535
                     37,                0.71989,                 4.9833,                0.47691,                0.47925,                  1.032,                0.98145,                0.91341,                0.96977,                0.79077,                0.47625,                0.37122,                0.31027,                0.09374,                0.75109,                 4.9387,                 0.4976,                0.44686,                 1.0637,              0.0016436,              0.0016436,              0.0016436
                     38,                0.71607,                 4.9231,                0.47003,                0.47548,                 1.0289,                0.97022,                0.93758,                0.97243,                0.80657,                0.51197,                0.42302,                0.34163,                0.12992,                0.69326,                 4.4203,                0.48306,                0.42143,                  1.038,              0.0016337,              0.0016337,              0.0016337
                     39,                0.71089,                  4.876,                 0.4639,                0.47841,                 1.0258,                0.97537,                0.91174,                0.96508,                0.79694,                 0.5217,                0.38561,                0.33295,                0.12442,                0.69844,                 4.5819,                0.48185,                0.45776,                  1.035,              0.0016238,              0.0016238,              0.0016238
                     40,                0.74261,                 4.7443,                0.46376,                0.50051,                 1.0423,                0.95656,                0.93813,                0.96794,                0.78623,                0.57182,                0.43811,                0.37621,                0.14975,                0.75851,                 4.2651,                0.48785,                0.44435,                 1.0921,              0.0016139,              0.0016139,              0.0016139
                     41,                 0.7077,                  4.718,                0.46106,                0.46897,                 1.0241,                0.97406,                0.91841,                0.96455,                0.77574,                0.52256,                0.40946,                0.34515,                0.11479,                0.74214,                 4.5614,                   0.48,                0.44366,                 1.0611,               0.001604,               0.001604,               0.001604
                     42,                0.69501,                 4.6765,                0.45913,                0.45852,                 1.0093,                0.96412,                0.93813,                0.96867,                0.80219,                0.50983,                0.42014,                0.33331,                0.12742,                0.69611,                 4.3799,                0.47821,                 0.4012,                 1.0294,              0.0015941,              0.0015941,              0.0015941
                     43,                0.70588,                 4.7684,                0.45665,                0.45959,                 1.0209,                0.97575,                0.92651,                0.97199,                0.80525,                0.52846,                0.44828,                0.34043,                0.11642,                0.67196,                 4.2401,                0.47528,                0.40578,                 1.0083,              0.0015842,              0.0015842,              0.0015842
                     44,                0.68937,                 4.5503,                0.45496,                0.45651,                 1.0129,                0.97302,                0.93421,                0.97031,                0.79536,                0.52789,                0.45755,                0.32758,                0.11569,                0.68713,                 4.1423,                0.47838,                0.40602,                 1.0262,              0.0015743,              0.0015743,              0.0015743
                     45,                0.67923,                 4.4815,                0.45823,                0.44207,                 1.0029,                0.97924,                 0.9295,                0.97058,                 0.7928,                0.54246,                0.43597,                0.32859,                0.12678,                0.70358,                 4.1805,                0.48551,                0.41917,                 1.0523,              0.0015644,              0.0015644,              0.0015644
                     46,                0.68775,                 4.4029,                0.44988,                0.45869,                 1.0146,                0.97575,                0.92627,                0.96796,                0.80596,                0.54823,                0.45755,                0.35576,                0.13857,                0.68384,                 4.1931,                0.47953,                0.40753,                 1.0309,              0.0015545,              0.0015545,              0.0015545
                     47,                0.68134,                 4.3772,                0.44861,                0.44146,                 1.0031,                 0.9785,                 0.9295,                0.97037,                0.80537,                0.54829,                0.46619,                0.38937,                0.15753,                0.67467,                 3.9981,                0.47497,                0.38873,                 1.0171,              0.0015446,              0.0015446,              0.0015446
                     48,                    0.7,                 4.4658,                 0.4484,                0.44821,                 1.0153,                0.97405,                0.91807,                0.96809,                0.79321,                 0.5326,                  0.423,                0.33974,                0.13662,                0.70596,                 4.2401,                0.48234,                0.43691,                 1.0412,              0.0015347,              0.0015347,              0.0015347
                     49,                0.68329,                 4.3274,                0.44644,                0.44953,                 1.0057,                0.96736,                0.93381,                0.96949,                0.79407,                 0.5438,                0.44765,                0.40138,                 0.1671,                0.72734,                 4.2634,                0.46623,                 0.4199,                 1.0482,              0.0015248,              0.0015248,              0.0015248
                     50,                0.66568,                 4.2019,                0.43522,                0.43724,                0.99847,                0.97745,                0.93532,                0.96706,                0.80325,                0.57384,                0.48921,                0.39435,                0.15164,                0.67322,                 4.0464,                0.46662,                0.38792,                 1.0269,              0.0015149,              0.0015149,              0.0015149
                     51,                0.68199,                  4.235,                0.43989,                0.44545,                 1.0105,                 0.9718,                0.94198,                0.97521,                0.80315,                0.55385,                0.48227,                0.37563,                0.15478,                 0.6808,                 4.0211,                0.47105,                0.39716,                 1.0237,               0.001505,               0.001505,               0.001505
                     52,                0.67255,                 4.3236,                0.44178,                0.43457,                  0.997,                0.97098,                0.93669,                0.97192,                0.80892,                0.57324,                0.49065,                0.39395,                0.16153,                0.68663,                 3.9942,                0.47417,                0.40144,                 1.0498,              0.0014951,              0.0014951,              0.0014951
                     53,                 0.6778,                 4.2971,                0.44294,                0.43573,                 1.0036,                0.96879,                0.93803,                 0.9719,                0.81497,                0.55093,                0.48777,                 0.3946,                0.15972,                0.67352,                 3.9121,                0.46493,                0.40257,                  1.019,              0.0014852,              0.0014852,              0.0014852
                     54,                0.66679,                 4.1667,                0.43207,                0.43621,                0.99443,                0.97268,                0.93813,                0.97601,                0.82126,                0.54731,                0.46187,                0.37898,                0.15418,                 0.6867,                 4.0326,                0.48011,                0.39319,                 1.0373,              0.0014753,              0.0014753,              0.0014753
                     55,                0.65652,                 4.2008,                0.44326,                0.42519,                0.99163,                0.97654,                 0.9223,                0.97477,                0.81331,                0.55624,                0.48489,                0.38415,                0.15532,                0.66753,                 4.0027,                0.47411,                0.40119,                 1.0199,              0.0014654,              0.0014654,              0.0014654
                     56,                0.66892,                 4.2268,                0.43123,                0.44198,                 1.0087,                0.97889,                0.93398,                0.97334,                0.81606,                0.56355,                0.47626,                 0.3914,                0.15242,                0.66858,                 3.9752,                0.47264,                0.38283,                 1.0198,              0.0014555,              0.0014555,              0.0014555
                     57,                0.64513,                 4.1321,                0.43032,                0.42134,                0.98725,                0.97022,                0.93761,                0.97061,                 0.8087,                 0.5572,                0.46619,                0.38157,                  0.147,                 0.6721,                 3.9097,                0.47067,                0.39234,                 1.0172,              0.0014456,              0.0014456,              0.0014456
                     58,                0.66752,                 4.1903,                0.43129,                0.42798,                0.99824,                0.97487,                0.94903,                0.97274,                0.81422,                0.52625,                0.46475,                0.37751,                0.16135,                0.67239,                  3.927,                0.47762,                 0.3939,                 1.0173,              0.0014357,              0.0014357,              0.0014357
                     59,                0.65472,                 4.1025,                0.43424,                0.42342,                0.99109,                0.97211,                0.92806,                0.96533,                 0.7998,                0.53409,                0.47194,                0.36666,                0.14683,                0.68608,                 3.9781,                0.47194,                0.41789,                 1.0278,              0.0014258,              0.0014258,              0.0014258
                     60,                0.64864,                 4.1322,                0.43634,                0.41926,                0.98345,                 0.9693,                0.93957,                0.97269,                0.81603,                0.56018,                0.49297,                0.40965,                0.17097,                0.67831,                 3.9985,                0.46517,                0.38562,                 1.0213,              0.0014159,              0.0014159,              0.0014159
                     61,                0.64844,                 3.9349,                0.43322,                0.42128,                0.98931,                0.96609,                0.93813,                0.97229,                0.81004,                0.57278,                0.48489,                0.40995,                0.17955,                0.66593,                 3.9986,                0.46675,                0.39686,                 1.0058,               0.001406,               0.001406,               0.001406
                     62,                0.64386,                 3.8327,                0.42471,                0.41691,                0.98563,                0.97922,                0.94904,                 0.9698,                0.80805,                0.58822,                0.51655,                 0.4095,                0.16462,                 0.6588,                 3.7867,                0.46935,                0.37219,                 1.0191,              0.0013961,              0.0013961,              0.0013961
                     63,                0.64486,                 3.9125,                0.43143,                0.41084,                0.99007,                0.97909,                0.93813,                0.97485,                0.81223,                0.58703,                 0.4964,                0.42369,                0.17609,                0.66818,                 3.7249,                0.46795,                0.38499,                 1.0161,              0.0013862,              0.0013862,              0.0013862
                     64,                0.65039,                 3.8582,                0.42803,                0.41429,                0.98021,                0.99136,                 0.9295,                0.97287,                0.81743,                0.60652,                0.51799,                0.43954,                0.18247,                0.66598,                 3.8862,                0.45587,                0.38436,                 1.0139,              0.0013763,              0.0013763,              0.0013763
                     65,                0.62518,                  3.767,                 0.4191,                0.40222,                0.97709,                0.97334,                0.94542,                 0.9771,                 0.8258,                0.60005,                0.50946,                0.44189,                0.17941,                 0.6679,                 3.7884,                0.46016,                0.37264,                 1.0147,              0.0013664,              0.0013664,              0.0013664
                     66,                0.63289,                 3.9181,                0.42673,                0.40922,                0.98221,                0.97366,                0.94388,                0.97238,                0.82033,                0.58914,                0.51799,                0.44788,                0.19431,                0.66401,                 3.8054,                0.46885,                0.37902,                 1.0158,              0.0013565,              0.0013565,              0.0013565
