                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.50735,                  2.641,                 0.3756,                 0.3209,                0.92187,                0.98242,                0.94388,                0.98002,                0.84425,                0.67604,                0.60719,                 0.5739,                0.28234,                0.60868,                 2.9922,                0.42126,                0.32333,                0.99012,              0.0006932,              0.0006932,              0.0006932
                     68,                0.50711,                 2.6829,                0.37142,                0.32785,                 0.9166,                 0.9762,                0.94435,                0.97953,                0.84011,                0.67209,                0.59424,                0.56004,                0.26929,                0.61741,                 3.0413,                0.42896,                 0.3364,                0.99017,              0.0006734,              0.0006734,              0.0006734
                     69,                0.51626,                 2.7204,                0.38047,                0.32853,                0.92267,                0.97478,                 0.9554,                0.98271,                0.84593,                0.67335,                    0.6,                0.56963,                0.27751,                0.61734,                  3.005,                0.42685,                0.33123,                0.98212,              0.0006536,              0.0006536,              0.0006536
                     70,                0.49179,                 2.5612,                0.36686,                0.31528,                0.91095,                0.97295,                0.95971,                0.98455,                0.84355,                0.67255,                0.60576,                0.56103,                0.27332,                0.60756,                  3.007,                0.42824,                0.32704,                0.98192,              0.0006338,              0.0006338,              0.0006338
                     71,                0.49796,                 2.6464,                0.36655,                0.32199,                0.91706,                 0.9865,                0.94606,                0.97997,                0.83496,                0.67338,                0.60719,                0.54926,                0.27645,                0.62061,                 2.9774,                 0.4296,                0.32135,                 1.0055,               0.000614,               0.000614,               0.000614
                     72,                0.49241,                 2.5634,                 0.3673,                 0.3113,                0.91702,                0.97943,                0.95892,                 0.9789,                0.84143,                0.67717,                0.60863,                0.56306,                0.27852,                0.61298,                 2.9521,                0.42347,                0.32485,                0.99208,              0.0005942,              0.0005942,              0.0005942
                     73,                0.48689,                 2.6125,                0.36716,                0.31391,                0.90935,                0.97889,                0.95396,                0.97847,                0.83609,                0.66231,                0.60432,                0.55226,                0.26895,                0.62495,                 2.9444,                0.42349,                 0.3294,                 1.0009,              0.0005744,              0.0005744,              0.0005744
                     74,                0.48584,                 2.5826,                0.36979,                0.31281,                 0.9122,                0.98199,                0.95252,                0.98277,                 0.8475,                0.67774,                0.60521,                0.57459,                0.28584,                0.61138,                 2.9377,                 0.4238,                0.32533,                0.99621,              0.0005546,              0.0005546,              0.0005546
                     75,                0.47944,                  2.535,                0.36048,                0.30575,                0.90671,                0.97678,                0.95252,                0.98484,                0.85274,                0.67337,                0.60576,                0.58441,                0.29388,                0.59487,                  2.949,                0.41648,                 0.3202,                0.98115,              0.0005348,              0.0005348,              0.0005348
                     76,                0.48921,                 2.5327,                0.36896,                0.31508,                0.91765,                0.97353,                0.95267,                0.98276,                0.85432,                0.67226,                0.61439,                0.58179,                0.29661,                0.59755,                 2.9024,                0.41297,                0.31806,                0.98455,               0.000515,               0.000515,               0.000515
                     77,                0.47586,                 2.4313,                0.36096,                0.30714,                0.90682,                0.97847,                 0.9482,                0.98439,                0.85803,                0.68569,                0.61007,                0.59257,                0.31053,                0.60162,                 2.8792,                 0.4242,                0.31687,                0.98038,              0.0004952,              0.0004952,              0.0004952
